Star_Name,RAHMS,DECDMS,raDeg,decDeg,Vr,PM_RA,PM_DEC,Simbad_Name,Alt_Simbad_Name,Sp_T,G_Gaia,V,BV,Name,Model,STIS
WDFS1930-52,19 30 18.957,-52 03 46.02,292.5789875,-52.062783333333336,,21.55,-33.29,Gaia DR3 6646236009641999488,,DA,17.67,,,wdfs1930_52,_mod_001,_stis_001
NGC6681-1,18 43 13.319,-32 17 25.36,280.80549583333334,-32.29037777777778,218.7,,,,,,,15.77,0.18,NGC6681_1,,_stis_002
WDFS1514+00,15 14 21.273,+00 47 52.81,228.5886375,0.7980027777777778,15.6,4.35,-26.86,WD1511+009,SDSSJ151421.27+004752.8,DA,15.88,,,wdfs1514_00,_mod_001,_stis_001
WDFS1206-27,12 06 20.351,-27 29 40.68,181.58479583333332,-27.494633333333333,,3.02,2.8,WD1203-272,,DA,16.67,,,wdfs1206_27,_mod_001,_stis_001
VB8,16 55 35.256,-08 23 40.75,253.8969,-8.394652777777777,15.0,-813.42,-870.61,,,M7V,,16.92,1.8,vb8,,_stiswfcnic_004
WDFS1055-36,10 55 25.384,-36 12 15.47,163.85576666666665,-36.20429722222222,,-21.35,46.13,Gaia DR3 5401230062610609920,,DA,18.2,,,wdfs1055_36,_mod_001,_stis_001
WDFS1837-70,18 37 17.874,-70 02 51.30,279.324475,-70.04758333333335,,10.38,-75.99,Gaia DR3 6431766714636858240,,DA,17.91,,,wdfs1837_70,_mod_001,_stis_001
C26202,03 32 32.843,-27 51 48.58,53.13684583333333,-27.863494444444445,,,,2MASS J03323287-2751483,[B2010] C26202,F8IV,,16.64,0.26,c26202,_mod_008,_stiswfcnic_007
WDFS2317-29,23 17 20.289,-29 03 22.05,349.33453750000007,-29.056125,,3.99,25.05,WD2314-293,,DA,18.53,,,wdfs2317_29,_mod_001,_stis_001
WDFS1434-28,14 34 59.587,-28 19 03.59,218.74827916666666,-28.317663888888887,,-48.56,18.6,Gaia DR3 6222123588482712832,,DA,18.1,,,wdfs1434_28,_mod_001,_stis_001
WDFS1535-77,15 35 45.310,-77 24 44.13,233.93879166666667,-77.41225833333333,,-26.88,-43.75,WD1529-772,,DA,16.76,,,wdfs1535_77,_mod_001,_stis_001
